GeneID,GO
Lsat_1_v5_gn_0_14601,GO:0005622
Lsat_1_v5_gn_0_14601,GO:0008270
Lsat_1_v5_gn_0_14641,GO:0016787
Lsat_1_v5_gn_0_14680,GO:0008152
Lsat_1_v5_gn_0_14680,GO:0016491
Lsat_1_v5_gn_0_14701,GO:0003676
Lsat_1_v5_gn_0_14701,GO:0003723
Lsat_1_v5_gn_0_14701,GO:0004386
Lsat_1_v5_gn_0_14701,GO:0004525
Lsat_1_v5_gn_0_14701,GO:0005524
Lsat_1_v5_gn_0_14701,GO:0006396
Lsat_1_v5_gn_0_14701,GO:0008026
Lsat_1_v5_gn_0_14701,GO:0016891
Lsat_1_v5_gn_0_14741,GO:0003676
Lsat_1_v5_gn_0_14741,GO:0004386
Lsat_1_v5_gn_0_14741,GO:0005524
Lsat_1_v5_gn_0_14741,GO:0008026
Lsat_1_v5_gn_0_14741,GO:0016891
Lsat_1_v5_gn_0_14841,GO:0008171
Lsat_1_v5_gn_0_14841,GO:0046983
Lsat_1_v5_gn_0_14861,GO:0008171
Lsat_1_v5_gn_0_14861,GO:0046983
Lsat_1_v5_gn_0_15061,GO:0003676
Lsat_1_v5_gn_0_15201,GO:0003700
Lsat_1_v5_gn_0_15201,GO:0006355
Lsat_1_v5_gn_0_15201,GO:0043565
Lsat_1_v5_gn_0_15220,GO:0005525
Lsat_1_v5_gn_0_15241,GO:0005515
Lsat_1_v5_gn_0_15420,GO:0003735
Lsat_1_v5_gn_0_15420,GO:0005622
Lsat_1_v5_gn_0_15420,GO:0005840
Lsat_1_v5_gn_0_15420,GO:0006412
Lsat_1_v5_gn_0_15460,GO:0003919
Lsat_1_v5_gn_0_15460,GO:0009231
Lsat_1_v5_gn_0_15481,GO:0006071
Lsat_1_v5_gn_0_15481,GO:0008889
Lsat_1_v5_gn_0_15540,GO:0005524
Lsat_1_v5_gn_0_15540,GO:0009507
Lsat_1_v5_gn_0_15580,GO:0000166
Lsat_1_v5_gn_0_15580,GO:0005524
Lsat_1_v5_gn_0_15580,GO:0009507
Lsat_1_v5_gn_0_15580,GO:0017111
Lsat_1_v5_gn_0_1580,GO:0008152
Lsat_1_v5_gn_0_1580,GO:0008652
Lsat_1_v5_gn_0_1580,GO:0016836
Lsat_1_v5_gn_0_1580,GO:0051539
Lsat_1_v5_gn_0_15821,GO:0016021
Lsat_1_v5_gn_0_15821,GO:0055085
Lsat_1_v5_gn_0_15901,GO:0003682
Lsat_1_v5_gn_0_15921,GO:0005506
Lsat_1_v5_gn_0_15921,GO:0016491
Lsat_1_v5_gn_0_15921,GO:0016705
Lsat_1_v5_gn_0_15921,GO:0016706
Lsat_1_v5_gn_0_15921,GO:0031418
Lsat_1_v5_gn_0_15921,GO:0055114
Lsat_1_v5_gn_0_15941,GO:0005506
Lsat_1_v5_gn_0_15941,GO:0016491
Lsat_1_v5_gn_0_15941,GO:0016705
Lsat_1_v5_gn_0_15941,GO:0016706
Lsat_1_v5_gn_0_15941,GO:0031418
Lsat_1_v5_gn_0_15941,GO:0055114
Lsat_1_v5_gn_0_16020,GO:0003924
Lsat_1_v5_gn_0_16020,GO:0005525
Lsat_1_v5_gn_0_16120,GO:0004672
Lsat_1_v5_gn_0_16120,GO:0005524
Lsat_1_v5_gn_0_16120,GO:0006468
Lsat_1_v5_gn_0_16140,GO:0003735
Lsat_1_v5_gn_0_16140,GO:0005622
Lsat_1_v5_gn_0_16140,GO:0005840
Lsat_1_v5_gn_0_16140,GO:0006412
Lsat_1_v5_gn_0_16160,GO:0003677
Lsat_1_v5_gn_0_16160,GO:0005515
Lsat_1_v5_gn_0_16160,GO:0005634
Lsat_1_v5_gn_0_16160,GO:0006351
Lsat_1_v5_gn_0_16160,GO:0006355
Lsat_1_v5_gn_0_16180,GO:0003896
Lsat_1_v5_gn_0_16180,GO:0006269
Lsat_1_v5_gn_0_16180,GO:0016779
Lsat_1_v5_gn_0_16380,GO:0004672
Lsat_1_v5_gn_0_16380,GO:0005524
Lsat_1_v5_gn_0_16380,GO:0006468
Lsat_1_v5_gn_0_16480,GO:0005515
Lsat_1_v5_gn_0_16540,GO:0003723
Lsat_1_v5_gn_0_16560,GO:0008937
Lsat_1_v5_gn_0_16560,GO:0055114
Lsat_1_v5_gn_0_16580,GO:0004601
Lsat_1_v5_gn_0_16580,GO:0006979
Lsat_1_v5_gn_0_16580,GO:0020037
Lsat_1_v5_gn_0_16580,GO:0055114
Lsat_1_v5_gn_0_16600,GO:0005515
Lsat_1_v5_gn_0_16701,GO:0006508
Lsat_1_v5_gn_0_16701,GO:0008234
Lsat_1_v5_gn_0_16720,GO:0005515
Lsat_1_v5_gn_0_16801,GO:0006508
Lsat_1_v5_gn_0_16801,GO:0008234
Lsat_1_v5_gn_0_16841,GO:0005506
Lsat_1_v5_gn_0_16841,GO:0009055
Lsat_1_v5_gn_0_16841,GO:0016705
Lsat_1_v5_gn_0_16841,GO:0020037
Lsat_1_v5_gn_0_16841,GO:0055114
Lsat_1_v5_gn_0_16980,GO:0005819
Lsat_1_v5_gn_0_16980,GO:0005874
Lsat_1_v5_gn_0_16980,GO:0007067
Lsat_1_v5_gn_0_17001,GO:0004519
Lsat_1_v5_gn_0_17001,GO:0006284
Lsat_1_v5_gn_0_17001,GO:0051539
Lsat_1_v5_gn_0_17341,GO:0003676
Lsat_1_v5_gn_0_17341,GO:0008270
Lsat_1_v5_gn_0_17361,GO:0000159
Lsat_1_v5_gn_0_17361,GO:0007165
Lsat_1_v5_gn_0_17361,GO:0008601
Lsat_1_v5_gn_0_17620,GO:0005524
Lsat_1_v5_gn_0_17620,GO:0015991
Lsat_1_v5_gn_0_17620,GO:0015992
Lsat_1_v5_gn_0_17620,GO:0016820
Lsat_1_v5_gn_0_17620,GO:0033178
Lsat_1_v5_gn_0_17620,GO:0046034
Lsat_1_v5_gn_0_17741,GO:0004553
Lsat_1_v5_gn_0_17741,GO:0005975
Lsat_1_v5_gn_0_17841,GO:0016491
Lsat_1_v5_gn_0_17841,GO:0016706
Lsat_1_v5_gn_0_17841,GO:0055114
Lsat_1_v5_gn_0_17861,GO:0005198
Lsat_1_v5_gn_0_17861,GO:0006508
Lsat_1_v5_gn_0_17861,GO:0006886
Lsat_1_v5_gn_0_17861,GO:0008234
Lsat_1_v5_gn_0_17861,GO:0016192
Lsat_1_v5_gn_0_17861,GO:0030117
Lsat_1_v5_gn_0_17920,GO:0003924
Lsat_1_v5_gn_0_17920,GO:0005525
Lsat_1_v5_gn_0_17920,GO:0005874
Lsat_1_v5_gn_0_17920,GO:0006184
Lsat_1_v5_gn_0_17920,GO:0007017
Lsat_1_v5_gn_0_17920,GO:0043234
Lsat_1_v5_gn_0_17920,GO:0051258
Lsat_1_v5_gn_0_18100,GO:0000155
Lsat_1_v5_gn_0_18100,GO:0000156
Lsat_1_v5_gn_0_18100,GO:0000160
Lsat_1_v5_gn_0_18100,GO:0005515
Lsat_1_v5_gn_0_18100,GO:0006355
Lsat_1_v5_gn_0_18100,GO:0007165
Lsat_1_v5_gn_0_18100,GO:0016020
Lsat_1_v5_gn_0_18220,GO:0004849
Lsat_1_v5_gn_0_18220,GO:0005524
Lsat_1_v5_gn_0_18220,GO:0008152
