Time,Treat,Cultivar,Rep,Color,Sample,Cy3G,Cy3_3MG,Cy3_6MG,Chlrogenic acid,Q3_6MbGG,Q3_6MGG,Q3G,Q3_6MG,Chicoric acid
72,72h,01_RLeaf,Rep_3,Red,Ls21v2.033.genes.results,2.152655412,1.560887573,49.29426774,44.309391,0.528910299,2.067710575,7.536284076,113.6905986,118.1239812
72,72h,03_GLeaf,Rep_1,Green,Ls21v2.034.genes.results,0,0,0,25.53950378,0.515804286,0.363719495,1.246899193,4.483921334,22.66029035
72,72h,03_GLeaf,Rep_2,Green,Ls21v2.035.genes.results,0,0,0,32.69663052,0.764784825,0.51269679,4.20551931,3.270055668,42.16083572
72,72h,03_GLeaf,Rep_3,Green,Ls21v2.036.genes.results,0,0,0,32.95531569,0.753464037,0.631400171,3.285698367,4.977844029,37.67813418
6,6h,02_FancR,Rep_1,Red,Ls21v2.037.genes.results,0,0,0.21220544,20.38046647,0.45142639,0.229503966,1.132116034,1.963115132,15.95036805
6,6h,02_FancR,Rep_2,Red,Ls21v2.038.genes.results,0,0,0.253388836,14.09056505,0.313812182,0.152261462,0.994904261,1.523932075,13.63734038
6,6h,02_FancR,Rep_3,Red,Ls21v2.039.genes.results,0.010306334,0,0.379324139,20.94496594,0.442184463,0.210262748,1.404112743,2.362414947,20.08320444
6,6h,04_FancG,Rep_1,Green,Ls21v2.040.genes.results,0,0,0,10.14946495,0.269510612,0.199899821,1.47010428,0.765087543,14.6564906
6,6h,04_FancG,Rep_2,Green,Ls21v2.041.genes.results,0,0,0,8.426206089,0.231251389,0.15076182,1.682704103,0.619706332,14.2625317
6,6h,04_FancG,Rep_3,Green,Ls21v2.042.genes.results,0,0,0,11.7313454,0.370992171,0.20538962,1.550153284,0.656938141,12.21839123
24,24h,02_FancR,Rep_1,Red,Ls21v2.043.genes.results,0.026242054,0,0.590570998,34.62710255,0.62158868,0.232027119,1.118920272,5.555850815,17.97056015
24,24h,02_FancR,Rep_2,Red,Ls21v2.044.genes.results,0,0,0.123730475,29.57973179,0.498171761,0.201592232,0.392992986,7.110578932,10.60403912
24,24h,02_FancR,Rep_3,Red,Ls21v2.045.genes.results,0.019664954,0,0.391247576,36.50572599,0.641593725,0.233058021,0.860769404,5.618069639,16.40930826
24,24h,04_FancG,Rep_1,Green,Ls21v2.046.genes.results,0,0,0,25.69039839,0.587109814,0.270142863,2.34691234,1.780535762,23.41096484
24,24h,04_FancG,Rep_2,Green,Ls21v2.047.genes.results,0.049004709,0,0,20.36702885,0.444166502,0.203668977,2.162378594,1.66054596,23.57999251
24,24h,04_FancG,Rep_3,Green,Ls21v2.048.genes.results,0.048168176,0,0,22.90210645,0.508337429,0.22729258,2.203543863,1.275030913,21.55579002
48,48h,02_FancR,Rep_1,Red,Ls21v2.049.genes.results,0.063525794,0.053429184,0.975553815,38.20921808,0.709987583,0.381844257,1.037476979,13.75374724,23.48026341
48,48h,02_FancR,Rep_2,Red,Ls21v2.050.genes.results,0,0,0.891903494,34.98019097,0.68705729,0.416630034,1.031636238,15.27858722,24.61137263
48,48h,02_FancR,Rep_3,Red,Ls21v2.051.genes.results,0.058731394,0.049396792,1.298488713,33.84286387,0.613851505,0.424891439,1.696197146,14.35342775,34.73816369
48,48h,04_FancG,Rep_1,Green,Ls21v2.052.genes.results,0,0,0,31.08845941,0.727044232,0.431700148,3.494617633,3.653873778,37.78656354
48,48h,04_FancG,Rep_2,Green,Ls21v2.053.genes.results,0,0,0,25.40706908,0.570977855,0.348287716,1.967800981,2.589536217,24.68144371
48,48h,04_FancG,Rep_3,Green,Ls21v2.054.genes.results,0,0,0,17.1170167,0.430578893,0.256742753,1.776314437,1.213215403,19.00892301
72,72h,02_FancR,Rep_1,Red,Ls21v2.055.genes.results,0.031745449,0,0.613408507,29.10367099,0.526307472,0.337073995,1.081917343,11.4394491,21.93967643
72,72h,02_FancR,Rep_2,Red,Ls21v2.056.genes.results,0.186259661,0.076297811,2.796622546,44.74778068,0.748838222,0.577038447,2.725352147,19.89804491,47.5185404
72,72h,02_FancR,Rep_3,Red,Ls21v2.057.genes.results,0.35614131,0.135516039,4.760589311,47.25624002,0.812577237,0.728311745,3.87842414,20.98812125,61.37121241
72,72h,04_FancG,Rep_1,Green,Ls21v2.058.genes.results,0,0,0,32.49585758,0.711029901,0.496150635,3.012013282,3.379715492,35.70585195
72,72h,04_FancG,Rep_2,Green,Ls21v2.059.genes.results,0,0,0,26.78992098,0.524639612,0.292771813,0.831552516,2.413438968,16.29941038
72,72h,04_FancG,Rep_3,Green,Ls21v2.060.genes.results,0,0,0,26.74606082,0.597963024,0.432253257,2.851011938,2.896831662,34.10734381
