"clust","GeneID","GO"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0004152"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0004356"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0006222"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0006542"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0006807"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_0_11160","GO:0004553"
"Cluster_04","Lsat_1_v5_gn_0_11160","GO:0005975"
"Cluster_04","Lsat_1_v5_gn_0_12340","GO:0015079"
"Cluster_04","Lsat_1_v5_gn_0_12340","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_12340","GO:0071805"
"Cluster_04","Lsat_1_v5_gn_0_12601","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_16480","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_17001","GO:0004519"
"Cluster_04","Lsat_1_v5_gn_0_17001","GO:0006284"
"Cluster_04","Lsat_1_v5_gn_0_17001","GO:0051539"
"Cluster_04","Lsat_1_v5_gn_0_17841","GO:0016491"
"Cluster_04","Lsat_1_v5_gn_0_17841","GO:0016706"
"Cluster_04","Lsat_1_v5_gn_0_17841","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_0_23481","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0003872"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0005945"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0006002"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0006096"
"Cluster_04","Lsat_1_v5_gn_0_29720","GO:0020037"
"Cluster_04","Lsat_1_v5_gn_0_30740","GO:0009055"
"Cluster_04","Lsat_1_v5_gn_0_30740","GO:0051536"
"Cluster_04","Lsat_1_v5_gn_0_32880","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_0_32880","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_0_32880","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_0_38960","GO:0003824"
"Cluster_04","Lsat_1_v5_gn_0_38960","GO:0044237"
"Cluster_04","Lsat_1_v5_gn_0_38960","GO:0050662"
"Cluster_04","Lsat_1_v5_gn_0_38980","GO:0003854"
"Cluster_04","Lsat_1_v5_gn_0_38980","GO:0006694"
"Cluster_04","Lsat_1_v5_gn_0_38980","GO:0016616"
"Cluster_04","Lsat_1_v5_gn_0_38980","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_0_39500","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_0_39500","GO:0016491"
"Cluster_04","Lsat_1_v5_gn_0_4140","GO:0003676"
"Cluster_04","Lsat_1_v5_gn_0_4140","GO:0003723"
"Cluster_04","Lsat_1_v5_gn_0_4280","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_4280","GO:0008270"
"Cluster_04","Lsat_1_v5_gn_0_47681","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_5800","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_9181","GO:0030163"
"Cluster_04","Lsat_1_v5_gn_0_9261","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_9600","GO:0016021"
"Cluster_04","Lsat_1_v5_gn_1_101","GO:0006855"
"Cluster_04","Lsat_1_v5_gn_1_101","GO:0015238"
"Cluster_04","Lsat_1_v5_gn_1_101","GO:0015297"
"Cluster_04","Lsat_1_v5_gn_1_101","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_1_101","GO:0055085"
"Cluster_04","Lsat_1_v5_gn_1_102180","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_102180","GO:0006952"
"Cluster_04","Lsat_1_v5_gn_1_102180","GO:0007165"
"Cluster_04","Lsat_1_v5_gn_1_102180","GO:0043531"
"Cluster_04","Lsat_1_v5_gn_1_10781","GO:0000976"
"Cluster_04","Lsat_1_v5_gn_1_10781","GO:0003677"
"Cluster_04","Lsat_1_v5_gn_1_10781","GO:0003700"
"Cluster_04","Lsat_1_v5_gn_1_10781","GO:0005634"
"Cluster_04","Lsat_1_v5_gn_1_10781","GO:0006355"
"Cluster_04","Lsat_1_v5_gn_1_10781","GO:0043565"
"Cluster_04","Lsat_1_v5_gn_1_10820","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_1_11080","GO:0000166"
"Cluster_04","Lsat_1_v5_gn_1_11080","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_11080","GO:0016887"
"Cluster_04","Lsat_1_v5_gn_1_11080","GO:0017111"
"Cluster_04","Lsat_1_v5_gn_1_111141","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_111141","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_111141","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_111141","GO:0007165"
"Cluster_04","Lsat_1_v5_gn_1_117781","GO:0003676"
"Cluster_04","Lsat_1_v5_gn_1_124421","GO:0004252"
"Cluster_04","Lsat_1_v5_gn_1_124421","GO:0006508"
"Cluster_04","Lsat_1_v5_gn_1_124461","GO:0003824"
"Cluster_04","Lsat_1_v5_gn_1_12561","GO:0005506"
"Cluster_04","Lsat_1_v5_gn_1_12561","GO:0009055"
"Cluster_04","Lsat_1_v5_gn_1_12561","GO:0016705"
"Cluster_04","Lsat_1_v5_gn_1_12561","GO:0020037"
"Cluster_04","Lsat_1_v5_gn_1_12561","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_1_128400","GO:0003677"
"Cluster_04","Lsat_1_v5_gn_1_128400","GO:0005634"
"Cluster_04","Lsat_1_v5_gn_1_129200","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_130060","GO:0055085"
"Cluster_04","Lsat_1_v5_gn_1_14020","GO:0003677"
"Cluster_04","Lsat_1_v5_gn_1_14020","GO:0006355"
"Cluster_04","Lsat_1_v5_gn_1_14020","GO:0008270"
"Cluster_04","Lsat_1_v5_gn_1_14320","GO:0000156"
"Cluster_04","Lsat_1_v5_gn_1_14320","GO:0000160"
"Cluster_04","Lsat_1_v5_gn_1_14320","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_14320","GO:0006355"
"Cluster_04","Lsat_1_v5_gn_1_14381","GO:0004176"
"Cluster_04","Lsat_1_v5_gn_1_14381","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_14381","GO:0006508"
"Cluster_04","Lsat_1_v5_gn_1_14381","GO:0008270"
"Cluster_04","Lsat_1_v5_gn_1_14940","GO:0046983"
"Cluster_04","Lsat_1_v5_gn_1_15560","GO:0004849"
"Cluster_04","Lsat_1_v5_gn_1_15560","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_15560","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_1_15560","GO:0016301"
"Cluster_04","Lsat_1_v5_gn_1_15560","GO:0016773"
"Cluster_04","Lsat_1_v5_gn_1_15860","GO:0006950"
"Cluster_04","Lsat_1_v5_gn_1_16041","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_16380","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_18441","GO:0005506"
"Cluster_04","Lsat_1_v5_gn_1_18441","GO:0009055"
"Cluster_04","Lsat_1_v5_gn_1_18441","GO:0016705"
"Cluster_04","Lsat_1_v5_gn_1_18441","GO:0020037"
"Cluster_04","Lsat_1_v5_gn_1_18441","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_1_19640","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_20100","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_20100","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_20100","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_20661","GO:0006629"
"Cluster_04","Lsat_1_v5_gn_1_20740","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_20740","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_20740","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_20761","GO:0006629"
"Cluster_04","Lsat_1_v5_gn_1_2081","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_1_20920","GO:0003824"
"Cluster_04","Lsat_1_v5_gn_1_20920","GO:0044237"
"Cluster_04","Lsat_1_v5_gn_1_20920","GO:0050662"
"Cluster_04","Lsat_1_v5_gn_1_23721","GO:0005506"
"Cluster_04","Lsat_1_v5_gn_1_23721","GO:0009055"
"Cluster_04","Lsat_1_v5_gn_1_23721","GO:0016705"
"Cluster_04","Lsat_1_v5_gn_1_23721","GO:0020037"
"Cluster_04","Lsat_1_v5_gn_1_23721","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_1_25820","GO:0016787"
"Cluster_04","Lsat_1_v5_gn_1_26480","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_26480","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_26480","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_28940","GO:0008270"
"Cluster_04","Lsat_1_v5_gn_1_29020","GO:0016787"
"Cluster_04","Lsat_1_v5_gn_1_30941","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_30941","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_30941","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_3100","GO:0006400"
