"clust","GeneID","GO"
"Cluster_03","Lsat_1_v5_gn_0_1041","GO:0008270"
"Cluster_03","Lsat_1_v5_gn_0_1041","GO:0016491"
"Cluster_03","Lsat_1_v5_gn_0_1041","GO:0016747"
"Cluster_03","Lsat_1_v5_gn_0_1041","GO:0055114"
"Cluster_03","Lsat_1_v5_gn_0_11160","GO:0004553"
"Cluster_03","Lsat_1_v5_gn_0_11160","GO:0005975"
"Cluster_03","Lsat_1_v5_gn_0_12340","GO:0015079"
"Cluster_03","Lsat_1_v5_gn_0_12340","GO:0016020"
"Cluster_03","Lsat_1_v5_gn_0_12340","GO:0071805"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0000166"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0000287"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0004012"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0005524"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0006812"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0015914"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0016021"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0019829"
"Cluster_03","Lsat_1_v5_gn_0_12940","GO:0046872"
"Cluster_03","Lsat_1_v5_gn_0_16480","GO:0005515"
"Cluster_03","Lsat_1_v5_gn_0_16841","GO:0005506"
"Cluster_03","Lsat_1_v5_gn_0_16841","GO:0009055"
"Cluster_03","Lsat_1_v5_gn_0_16841","GO:0016705"
"Cluster_03","Lsat_1_v5_gn_0_16841","GO:0020037"
"Cluster_03","Lsat_1_v5_gn_0_16841","GO:0055114"
"Cluster_03","Lsat_1_v5_gn_0_19620","GO:0008375"
"Cluster_03","Lsat_1_v5_gn_0_19620","GO:0016020"
"Cluster_03","Lsat_1_v5_gn_0_22580","GO:0005515"
"Cluster_03","Lsat_1_v5_gn_0_22580","GO:0008270"
"Cluster_03","Lsat_1_v5_gn_0_22980","GO:0004672"
"Cluster_03","Lsat_1_v5_gn_0_22980","GO:0005524"
"Cluster_03","Lsat_1_v5_gn_0_22980","GO:0006468"
"Cluster_03","Lsat_1_v5_gn_0_29720","GO:0020037"
"Cluster_03","Lsat_1_v5_gn_0_39500","GO:0008152"
"Cluster_03","Lsat_1_v5_gn_0_39500","GO:0016491"
"Cluster_03","Lsat_1_v5_gn_0_4280","GO:0005515"
"Cluster_03","Lsat_1_v5_gn_0_4280","GO:0008270"
"Cluster_03","Lsat_1_v5_gn_0_47540","GO:0004345"
"Cluster_03","Lsat_1_v5_gn_0_47540","GO:0006006"
"Cluster_03","Lsat_1_v5_gn_0_47540","GO:0050661"
"Cluster_03","Lsat_1_v5_gn_0_47540","GO:0055114"
"Cluster_03","Lsat_1_v5_gn_0_6400","GO:0004097"
"Cluster_03","Lsat_1_v5_gn_0_6400","GO:0008152"
"Cluster_03","Lsat_1_v5_gn_0_6400","GO:0016491"
"Cluster_03","Lsat_1_v5_gn_0_6400","GO:0055114"
"Cluster_03","Lsat_1_v5_gn_0_9341","GO:0005524"
"Cluster_03","Lsat_1_v5_gn_1_101","GO:0006855"
"Cluster_03","Lsat_1_v5_gn_1_101","GO:0015238"
"Cluster_03","Lsat_1_v5_gn_1_101","GO:0015297"
"Cluster_03","Lsat_1_v5_gn_1_101","GO:0016020"
"Cluster_03","Lsat_1_v5_gn_1_101","GO:0055085"
"Cluster_03","Lsat_1_v5_gn_1_102180","GO:0005515"
"Cluster_03","Lsat_1_v5_gn_1_102180","GO:0006952"
"Cluster_03","Lsat_1_v5_gn_1_102180","GO:0007165"
"Cluster_03","Lsat_1_v5_gn_1_102180","GO:0043531"
"Cluster_03","Lsat_1_v5_gn_1_104541","GO:0004185"
"Cluster_03","Lsat_1_v5_gn_1_104541","GO:0006508"
"Cluster_03","Lsat_1_v5_gn_1_106620","GO:0005509"
"Cluster_03","Lsat_1_v5_gn_1_10781","GO:0000976"
"Cluster_03","Lsat_1_v5_gn_1_10781","GO:0003677"
"Cluster_03","Lsat_1_v5_gn_1_10781","GO:0003700"
"Cluster_03","Lsat_1_v5_gn_1_10781","GO:0005634"
"Cluster_03","Lsat_1_v5_gn_1_10781","GO:0006355"
"Cluster_03","Lsat_1_v5_gn_1_10781","GO:0043565"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0000166"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0005524"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0006810"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0016021"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0016887"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0017111"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0042626"
"Cluster_03","Lsat_1_v5_gn_1_110140","GO:0055085"
"Cluster_03","Lsat_1_v5_gn_1_110780","GO:0016747"
"Cluster_03","Lsat_1_v5_gn_1_112901","GO:0006629"
"Cluster_03","Lsat_1_v5_gn_1_112901","GO:0016788"
"Cluster_03","Lsat_1_v5_gn_1_120281","GO:0006952"
"Cluster_03","Lsat_1_v5_gn_1_120281","GO:0009607"
"Cluster_03","Lsat_1_v5_gn_1_123460","GO:0004672"
"Cluster_03","Lsat_1_v5_gn_1_123460","GO:0005524"
"Cluster_03","Lsat_1_v5_gn_1_123460","GO:0006468"
"Cluster_03","Lsat_1_v5_gn_1_123521","GO:0000287"
"Cluster_03","Lsat_1_v5_gn_1_123521","GO:0008152"
"Cluster_03","Lsat_1_v5_gn_1_123521","GO:0010333"
