"clust","GeneID","GO"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0004152"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0004356"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0006222"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0006542"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0006807"
"Cluster_04","Lsat_1_v5_gn_0_10461","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_0_11501","GO:0006071"
"Cluster_04","Lsat_1_v5_gn_0_11501","GO:0008889"
"Cluster_04","Lsat_1_v5_gn_0_12601","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_1300","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_14641","GO:0016787"
"Cluster_04","Lsat_1_v5_gn_0_15201","GO:0003700"
"Cluster_04","Lsat_1_v5_gn_0_15201","GO:0006355"
"Cluster_04","Lsat_1_v5_gn_0_15201","GO:0043565"
"Cluster_04","Lsat_1_v5_gn_0_15220","GO:0005525"
"Cluster_04","Lsat_1_v5_gn_0_17741","GO:0004553"
"Cluster_04","Lsat_1_v5_gn_0_17741","GO:0005975"
"Cluster_04","Lsat_1_v5_gn_0_21761","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_23901","GO:0008270"
"Cluster_04","Lsat_1_v5_gn_0_26880","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_0_26880","GO:0016491"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0003872"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0005945"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0006002"
"Cluster_04","Lsat_1_v5_gn_0_27020","GO:0006096"
"Cluster_04","Lsat_1_v5_gn_0_29221","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_0_29221","GO:0016491"
"Cluster_04","Lsat_1_v5_gn_0_40560","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_40560","GO:0016021"
"Cluster_04","Lsat_1_v5_gn_0_40560","GO:0022857"
"Cluster_04","Lsat_1_v5_gn_0_40560","GO:0022891"
"Cluster_04","Lsat_1_v5_gn_0_40560","GO:0055085"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0000166"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0006810"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0016021"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0016887"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0017111"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0042626"
"Cluster_04","Lsat_1_v5_gn_0_42660","GO:0055085"
"Cluster_04","Lsat_1_v5_gn_0_44640","GO:0005643"
"Cluster_04","Lsat_1_v5_gn_0_44640","GO:0006886"
"Cluster_04","Lsat_1_v5_gn_0_44640","GO:0006913"
"Cluster_04","Lsat_1_v5_gn_0_44640","GO:0008565"
"Cluster_04","Lsat_1_v5_gn_0_45100","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_0_47721","GO:0016021"
"Cluster_04","Lsat_1_v5_gn_0_47721","GO:0042765"
"Cluster_04","Lsat_1_v5_gn_0_4801","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_0_4801","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_0_4801","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_0_4981","GO:0004470"
"Cluster_04","Lsat_1_v5_gn_0_4981","GO:0006108"
"Cluster_04","Lsat_1_v5_gn_0_4981","GO:0016616"
"Cluster_04","Lsat_1_v5_gn_0_4981","GO:0016619"
"Cluster_04","Lsat_1_v5_gn_0_4981","GO:0051287"
"Cluster_04","Lsat_1_v5_gn_0_4981","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_0_5460","GO:0006886"
"Cluster_04","Lsat_1_v5_gn_0_5460","GO:0016192"
"Cluster_04","Lsat_1_v5_gn_0_5800","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_6661","GO:0005507"
"Cluster_04","Lsat_1_v5_gn_0_6661","GO:0009055"
"Cluster_04","Lsat_1_v5_gn_0_6940","GO:0016757"
"Cluster_04","Lsat_1_v5_gn_0_740","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_0_740","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_0_740","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_0_740","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_0_740","GO:0016597"
"Cluster_04","Lsat_1_v5_gn_0_7801","GO:0008654"
"Cluster_04","Lsat_1_v5_gn_0_7801","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_0_7801","GO:0016780"
"Cluster_04","Lsat_1_v5_gn_0_9540","GO:0015743"
"Cluster_04","Lsat_1_v5_gn_1_105621","GO:0006694"
"Cluster_04","Lsat_1_v5_gn_1_105621","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_1_105621","GO:0008168"
"Cluster_04","Lsat_1_v5_gn_1_106760","GO:0006855"
"Cluster_04","Lsat_1_v5_gn_1_106760","GO:0015238"
"Cluster_04","Lsat_1_v5_gn_1_106760","GO:0015297"
"Cluster_04","Lsat_1_v5_gn_1_106760","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_1_106760","GO:0055085"
"Cluster_04","Lsat_1_v5_gn_1_107400","GO:0015986"
"Cluster_04","Lsat_1_v5_gn_1_107400","GO:0046933"
"Cluster_04","Lsat_1_v5_gn_1_109401","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_109401","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_109401","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_114540","GO:0004869"
"Cluster_04","Lsat_1_v5_gn_1_118001","GO:0005643"
"Cluster_04","Lsat_1_v5_gn_1_118001","GO:0006886"
"Cluster_04","Lsat_1_v5_gn_1_118001","GO:0008565"
"Cluster_04","Lsat_1_v5_gn_1_118321","GO:0004185"
"Cluster_04","Lsat_1_v5_gn_1_118321","GO:0006508"
"Cluster_04","Lsat_1_v5_gn_1_118400","GO:0004185"
"Cluster_04","Lsat_1_v5_gn_1_118400","GO:0006508"
"Cluster_04","Lsat_1_v5_gn_1_125481","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_125481","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_126860","GO:0016491"
"Cluster_04","Lsat_1_v5_gn_1_126860","GO:0050660"
"Cluster_04","Lsat_1_v5_gn_1_126860","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_1_127501","GO:0004553"
"Cluster_04","Lsat_1_v5_gn_1_127501","GO:0005618"
"Cluster_04","Lsat_1_v5_gn_1_127501","GO:0005975"
"Cluster_04","Lsat_1_v5_gn_1_127501","GO:0006073"
"Cluster_04","Lsat_1_v5_gn_1_127501","GO:0016762"
"Cluster_04","Lsat_1_v5_gn_1_127501","GO:0048046"
"Cluster_04","Lsat_1_v5_gn_1_130060","GO:0055085"
"Cluster_04","Lsat_1_v5_gn_1_13620","GO:0016616"
"Cluster_04","Lsat_1_v5_gn_1_13620","GO:0051287"
"Cluster_04","Lsat_1_v5_gn_1_13620","GO:0055114"
"Cluster_04","Lsat_1_v5_gn_1_13741","GO:0016020"
"Cluster_04","Lsat_1_v5_gn_1_13741","GO:0016798"
"Cluster_04","Lsat_1_v5_gn_1_15001","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_1541","GO:0005634"
"Cluster_04","Lsat_1_v5_gn_1_16420","GO:0005198"
"Cluster_04","Lsat_1_v5_gn_1_16420","GO:0005515"
"Cluster_04","Lsat_1_v5_gn_1_16420","GO:0006886"
"Cluster_04","Lsat_1_v5_gn_1_16420","GO:0016192"
"Cluster_04","Lsat_1_v5_gn_1_16420","GO:0030117"
"Cluster_04","Lsat_1_v5_gn_1_16420","GO:0030126"
"Cluster_04","Lsat_1_v5_gn_1_1681","GO:0019904"
"Cluster_04","Lsat_1_v5_gn_1_17120","GO:0003700"
"Cluster_04","Lsat_1_v5_gn_1_17120","GO:0006355"
"Cluster_04","Lsat_1_v5_gn_1_17120","GO:0043565"
"Cluster_04","Lsat_1_v5_gn_1_21861","GO:0003676"
"Cluster_04","Lsat_1_v5_gn_1_21861","GO:0003723"
"Cluster_04","Lsat_1_v5_gn_1_22141","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_22141","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_22320","GO:0006508"
"Cluster_04","Lsat_1_v5_gn_1_22320","GO:0008234"
"Cluster_04","Lsat_1_v5_gn_1_22441","GO:0016021"
"Cluster_04","Lsat_1_v5_gn_1_25020","GO:0003824"
"Cluster_04","Lsat_1_v5_gn_1_25020","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_1_25721","GO:0008152"
"Cluster_04","Lsat_1_v5_gn_1_25721","GO:0016758"
"Cluster_04","Lsat_1_v5_gn_1_25820","GO:0016787"
"Cluster_04","Lsat_1_v5_gn_1_26821","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_26821","GO:0005524"
"Cluster_04","Lsat_1_v5_gn_1_26821","GO:0006468"
"Cluster_04","Lsat_1_v5_gn_1_27540","GO:0004672"
"Cluster_04","Lsat_1_v5_gn_1_27540","GO:0005524"
