"","Sample_01","Sample_02","Sample_03","Sample_04","Sample_05","Sample_06","Sample_07","Sample_08","Sample_09","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","GeneID","clust"
"Lsat_1_v5_gn_0_12040",2.22905729697519,0.667666838164492,-0.931443775928606,-0.7040172086586,-0.426838439351036,1.68106926118255,1.62662147051177,1.09339299102378,0.524502570011415,-0.066978091680045,-0.748517250223388,-0.441615125614359,-0.055378195740426,0.179892390117866,-0.702661448033854,-0.613037015352961,-0.351703960943484,-0.503406178274788,-1.3666314103862,-1.08997471779933,"Lsat_1_v5_gn_0_12040","Cluster_02"
"Lsat_1_v5_gn_0_14341",-1.79105289439844,0.90804128974162,-0.476768645319536,-1.34525961801036,0.48341688354522,-0.379761449961743,1.35403451014695,0.46297898718813,0.0273010926204644,0.63311655126381,-1.00777040186154,-0.437107509152254,1.04174853781305,-1.04464570381775,-0.0121489706757603,-0.684333528507467,1.84964959352179,-0.940027468202773,-0.0362199411646489,1.39480868523124,"Lsat_1_v5_gn_0_14341","Cluster_02"
"Lsat_1_v5_gn_0_14680",-0.0263098176836249,0.401273208153294,-1.9638465713112,-0.503816678810185,0.684070662663223,0.638096541185828,-0.89149257237729,-1.64949358756807,-0.735122874240847,-0.0488041663675745,1.0914909363409,-0.554665862773214,0.687318165038107,0.000494949543683115,2.14616066947712,-0.425548754467487,0.467083619773726,-0.648661623705057,-0.203025463977162,1.53479922110587,"Lsat_1_v5_gn_0_14680","Cluster_02"
"Lsat_1_v5_gn_0_15220",-1.52666766503368,0.42558654786556,-0.998264842468697,0.679501640555233,0.73908516280353,0.679538110479802,1.95766452676706,-0.109543769250312,1.23939788723571,0.752481809963859,-0.753574577982973,-1.37227293172703,0.730202219408231,-0.799272263641597,-0.313756303820106,-0.946233208589372,-0.0152195561738975,-1.51105410414931,0.0602184211308706,1.08218289662711,"Lsat_1_v5_gn_0_15220","Cluster_02"
"Lsat_1_v5_gn_0_17741",0.439748271800918,-0.547329373318962,-0.304465618499781,-1.74155623261437,0.602163294385254,1.27608218924967,0.856299905403077,1.08405298718123,-0.46081945412474,0.640931115893137,-0.325356378436176,-0.497696119524541,0.170136801492067,-2.38100096144588,-1.0339086583709,1.09269737938778,0.977209734836086,-0.488176374459898,-0.436298175869631,1.07728566703565,"Lsat_1_v5_gn_0_17741","Cluster_02"
"Lsat_1_v5_gn_0_21100",0.338118634974714,1.24333829029145,-0.602163209406269,-2.42849190002623,-0.0350553772444182,1.02232773017706,1.5312553266226,0.501802517759829,-0.104219484660526,0.0767943002277326,-0.473580648188125,-0.00873562646437282,0.89172274880761,-1.25890577555233,0.156381643278805,-0.258260731412129,1.45194834814016,-0.134034658113618,-1.57712102490599,-0.333121104305947,"Lsat_1_v5_gn_0_21100","Cluster_02"
"Lsat_1_v5_gn_0_21761",-1.73774403432106,0.101333683753773,-0.547428835466846,-0.497625755702678,0.117477585170382,0.278090232038635,0.0368670984605736,0.385522601651549,0.302027772398008,0.731117953602553,0.165728794344214,-0.221175506252221,2.26941194270396,-1.19516528381165,1.27964115593953,-1.88498933275002,1.40553322555287,-0.720150344223628,-0.434161979621855,0.165689026533911,"Lsat_1_v5_gn_0_21761","Cluster_02"
"Lsat_1_v5_gn_0_23901",-0.752744732814091,-1.39201970170922,-0.84421917609294,-0.414532234994378,1.57829349655135,0.985972816307511,1.11876435103011,-0.0346417959446486,-0.145873243394537,0.58773335071018,0.419771622705571,-1.87401043279337,-0.0836239165520045,0.713923235662846,0.953858351629821,-1.79570334678196,0.266738095694444,-0.535945404308015,-0.101045503290378,1.34930416838367,"Lsat_1_v5_gn_0_23901","Cluster_02"
"Lsat_1_v5_gn_0_26880",1.0336595925924,0.402595968297716,1.33565601004337,-0.737871789234261,1.21901017814599,1.81284811423932,0.131183916068012,0.577678749142183,-0.445784926486549,1.09044748290859,0.0639399712399249,-0.825511174945008,-0.703338327894577,-0.534036396922026,0.265176345843367,-1.63448315555865,-1.33596119208217,-0.921750404792725,-1.33838004039196,0.544921079787077,"Lsat_1_v5_gn_0_26880","Cluster_02"
"Lsat_1_v5_gn_0_27001",-0.665632156373227,0.365578198181143,-0.551665837952468,-1.47713841737372,0.713865224457825,-0.0542071726264404,0.538179692821996,-0.0381453590852187,-1.95201660795357,0.3697173044226,-0.338262356948542,0.809722798863113,1.2931807319645,-1.56614111957858,0.584469866626841,-0.444007597104289,1.19715075535082,0.41196799724602,-0.981562109476172,1.78494616453738,"Lsat_1_v5_gn_0_27001","Cluster_02"
"Lsat_1_v5_gn_0_29221",-0.222767976170466,0.852733540375634,-0.0852205008736028,-0.624648870997359,0.499459097095084,-0.523372537477133,1.1474094874325,0.258632967661891,-0.69753935317775,-0.0549855547113368,-0.423158854152594,-0.740779080740495,1.14999798115352,-0.720806876489151,1.02012175233021,-2.78467326853162,2.0027914405974,-0.0640800246538946,-0.15124307095395,0.162129702283107,"Lsat_1_v5_gn_0_29221","Cluster_02"
"Lsat_1_v5_gn_0_3380",-0.428369804017652,0.219718235914436,-0.231918892826602,0.209579366383572,-0.422983956900059,-0.200542922320502,0.119837927988577,0.295142224871576,2.15475068659067,1.37060210165351,0.633149351965356,-1.23817551359904,-0.184198181438787,0.449072621183855,1.16795722479139,-1.91183308130529,0.790566230851926,-1.7789273945876,-0.916916737393239,-0.0965094878060987,"Lsat_1_v5_gn_0_3380","Cluster_02"
