"clust","GeneID","GO"
"Cluster_01","Lsat_1_v5_gn_0_14861","GO:0008171"
"Cluster_01","Lsat_1_v5_gn_0_14861","GO:0046983"
"Cluster_01","Lsat_1_v5_gn_0_16540","GO:0003723"
"Cluster_01","Lsat_1_v5_gn_0_17620","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_0_17620","GO:0015991"
"Cluster_01","Lsat_1_v5_gn_0_17620","GO:0015992"
"Cluster_01","Lsat_1_v5_gn_0_17620","GO:0016820"
"Cluster_01","Lsat_1_v5_gn_0_17620","GO:0033178"
"Cluster_01","Lsat_1_v5_gn_0_17620","GO:0046034"
"Cluster_01","Lsat_1_v5_gn_0_25980","GO:0005742"
"Cluster_01","Lsat_1_v5_gn_0_25980","GO:0045040"
"Cluster_01","Lsat_1_v5_gn_0_30740","GO:0009055"
"Cluster_01","Lsat_1_v5_gn_0_30740","GO:0051536"
"Cluster_01","Lsat_1_v5_gn_0_320","GO:0016787"
"Cluster_01","Lsat_1_v5_gn_0_3201","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_0_3201","GO:0016887"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0009055"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0015035"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0045454"
"Cluster_01","Lsat_1_v5_gn_0_37721","GO:0000786"
"Cluster_01","Lsat_1_v5_gn_0_37721","GO:0003677"
"Cluster_01","Lsat_1_v5_gn_0_37721","GO:0005634"
"Cluster_01","Lsat_1_v5_gn_0_37721","GO:0006334"
"Cluster_01","Lsat_1_v5_gn_0_38960","GO:0003824"
"Cluster_01","Lsat_1_v5_gn_0_38960","GO:0044237"
"Cluster_01","Lsat_1_v5_gn_0_38960","GO:0050662"
"Cluster_01","Lsat_1_v5_gn_0_4140","GO:0003676"
"Cluster_01","Lsat_1_v5_gn_0_4140","GO:0003723"
"Cluster_01","Lsat_1_v5_gn_0_41560","GO:0003735"
"Cluster_01","Lsat_1_v5_gn_0_41560","GO:0005622"
"Cluster_01","Lsat_1_v5_gn_0_41560","GO:0005840"
"Cluster_01","Lsat_1_v5_gn_0_41560","GO:0006412"
"Cluster_01","Lsat_1_v5_gn_0_47681","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_0_5501","GO:0005622"
"Cluster_01","Lsat_1_v5_gn_0_5501","GO:0008270"
"Cluster_01","Lsat_1_v5_gn_0_7900","GO:0008080"
"Cluster_01","Lsat_1_v5_gn_0_9181","GO:0030163"
"Cluster_01","Lsat_1_v5_gn_0_9600","GO:0016021"
"Cluster_01","Lsat_1_v5_gn_0_9801","GO:0004252"
"Cluster_01","Lsat_1_v5_gn_0_9801","GO:0006508"
"Cluster_01","Lsat_1_v5_gn_1_10140","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_10140","GO:0006139"
"Cluster_01","Lsat_1_v5_gn_1_10140","GO:0016773"
"Cluster_01","Lsat_1_v5_gn_1_10481","GO:0003677"
"Cluster_01","Lsat_1_v5_gn_1_10481","GO:0003824"
"Cluster_01","Lsat_1_v5_gn_1_10481","GO:0008409"
"Cluster_01","Lsat_1_v5_gn_1_11080","GO:0000166"
"Cluster_01","Lsat_1_v5_gn_1_11080","GO:0005524"
