"clust","GeneID","GO"
"Cluster_03","Lsat_1_v5_gn_0_10441","GO:0016021"
"Cluster_03","Lsat_1_v5_gn_0_10780","GO:0006662"
"Cluster_03","Lsat_1_v5_gn_0_10780","GO:0009055"
"Cluster_03","Lsat_1_v5_gn_0_10780","GO:0015035"
"Cluster_03","Lsat_1_v5_gn_0_10780","GO:0045454"
"Cluster_03","Lsat_1_v5_gn_0_11501","GO:0006071"
"Cluster_03","Lsat_1_v5_gn_0_11501","GO:0008889"
"Cluster_03","Lsat_1_v5_gn_0_1340","GO:0005515"
"Cluster_03","Lsat_1_v5_gn_0_1340","GO:0008270"
"Cluster_03","Lsat_1_v5_gn_0_14580","GO:0008152"
"Cluster_03","Lsat_1_v5_gn_0_14580","GO:0016787"
"Cluster_03","Lsat_1_v5_gn_0_15460","GO:0003919"
"Cluster_03","Lsat_1_v5_gn_0_15460","GO:0009231"
"Cluster_03","Lsat_1_v5_gn_0_16540","GO:0003723"
"Cluster_03","Lsat_1_v5_gn_0_16560","GO:0008937"
"Cluster_03","Lsat_1_v5_gn_0_16560","GO:0055114"
"Cluster_03","Lsat_1_v5_gn_0_19321","GO:0004089"
"Cluster_03","Lsat_1_v5_gn_0_19321","GO:0008270"
"Cluster_03","Lsat_1_v5_gn_0_26221","GO:0003755"
"Cluster_03","Lsat_1_v5_gn_0_26221","GO:0006457"
"Cluster_03","Lsat_1_v5_gn_0_29401","GO:0005515"
"Cluster_03","Lsat_1_v5_gn_0_320","GO:0016787"
"Cluster_03","Lsat_1_v5_gn_0_3201","GO:0005524"
"Cluster_03","Lsat_1_v5_gn_0_3201","GO:0016887"
"Cluster_03","Lsat_1_v5_gn_0_37081","GO:0003755"
"Cluster_03","Lsat_1_v5_gn_0_37081","GO:0006457"
"Cluster_03","Lsat_1_v5_gn_0_37721","GO:0000786"
"Cluster_03","Lsat_1_v5_gn_0_37721","GO:0003677"
"Cluster_03","Lsat_1_v5_gn_0_37721","GO:0005634"
"Cluster_03","Lsat_1_v5_gn_0_37721","GO:0006334"
"Cluster_03","Lsat_1_v5_gn_0_40540","GO:0016620"
"Cluster_03","Lsat_1_v5_gn_0_40540","GO:0055114"
"Cluster_03","Lsat_1_v5_gn_0_4201","GO:0008478"
"Cluster_03","Lsat_1_v5_gn_0_4201","GO:0009443"
"Cluster_03","Lsat_1_v5_gn_0_4920","GO:0003735"
