"clust","GeneID","GO"
"Cluster_01","Lsat_1_v5_gn_0_10560","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_0_10560","GO:0008270"
"Cluster_01","Lsat_1_v5_gn_0_14861","GO:0008171"
"Cluster_01","Lsat_1_v5_gn_0_14861","GO:0046983"
"Cluster_01","Lsat_1_v5_gn_0_15921","GO:0005506"
"Cluster_01","Lsat_1_v5_gn_0_15921","GO:0016491"
"Cluster_01","Lsat_1_v5_gn_0_15921","GO:0016705"
"Cluster_01","Lsat_1_v5_gn_0_15921","GO:0016706"
"Cluster_01","Lsat_1_v5_gn_0_15921","GO:0031418"
"Cluster_01","Lsat_1_v5_gn_0_15921","GO:0055114"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0000155"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0000156"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0000160"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0006355"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0007165"
"Cluster_01","Lsat_1_v5_gn_0_18100","GO:0016020"
"Cluster_01","Lsat_1_v5_gn_0_22040","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_0_29161","GO:0008152"
"Cluster_01","Lsat_1_v5_gn_0_29161","GO:0016597"
"Cluster_01","Lsat_1_v5_gn_0_37261","GO:0005634"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0009055"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0015035"
"Cluster_01","Lsat_1_v5_gn_0_37340","GO:0045454"
"Cluster_01","Lsat_1_v5_gn_0_4121","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_0_41681","GO:0003700"
"Cluster_01","Lsat_1_v5_gn_0_41681","GO:0006355"
"Cluster_01","Lsat_1_v5_gn_0_45961","GO:0016787"
"Cluster_01","Lsat_1_v5_gn_0_5501","GO:0005622"
"Cluster_01","Lsat_1_v5_gn_0_5501","GO:0008270"
"Cluster_01","Lsat_1_v5_gn_0_580","GO:0003682"
"Cluster_01","Lsat_1_v5_gn_0_6780","GO:0005097"
"Cluster_01","Lsat_1_v5_gn_0_6780","GO:0005622"
"Cluster_01","Lsat_1_v5_gn_0_6780","GO:0032313"
"Cluster_01","Lsat_1_v5_gn_0_7500","GO:0000166"
"Cluster_01","Lsat_1_v5_gn_0_7500","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_0_7500","GO:0017111"
"Cluster_01","Lsat_1_v5_gn_0_8520","GO:0016021"
"Cluster_01","Lsat_1_v5_gn_0_9760","GO:0003677"
"Cluster_01","Lsat_1_v5_gn_0_9760","GO:0006355"
"Cluster_01","Lsat_1_v5_gn_1_10061","GO:0005516"
"Cluster_01","Lsat_1_v5_gn_1_10061","GO:0009522"
"Cluster_01","Lsat_1_v5_gn_1_10061","GO:0015979"
"Cluster_01","Lsat_1_v5_gn_1_10061","GO:0042651"
"Cluster_01","Lsat_1_v5_gn_1_104980","GO:0004360"
"Cluster_01","Lsat_1_v5_gn_1_104980","GO:0005737"
"Cluster_01","Lsat_1_v5_gn_1_104980","GO:0005975"
"Cluster_01","Lsat_1_v5_gn_1_104980","GO:0016051"
"Cluster_01","Lsat_1_v5_gn_1_104980","GO:0030246"
"Cluster_01","Lsat_1_v5_gn_1_10521","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_10521","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_10521","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_105840","GO:0016020"
"Cluster_01","Lsat_1_v5_gn_1_105840","GO:0030001"
"Cluster_01","Lsat_1_v5_gn_1_105840","GO:0046873"
"Cluster_01","Lsat_1_v5_gn_1_105840","GO:0055085"
"Cluster_01","Lsat_1_v5_gn_1_107841","GO:0005509"
"Cluster_01","Lsat_1_v5_gn_1_107841","GO:0009523"
"Cluster_01","Lsat_1_v5_gn_1_107841","GO:0009654"
"Cluster_01","Lsat_1_v5_gn_1_107841","GO:0015979"
"Cluster_01","Lsat_1_v5_gn_1_107841","GO:0019898"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0003924"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0005525"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0005622"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0006184"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0006886"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0006913"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0007165"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0007264"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0015031"
"Cluster_01","Lsat_1_v5_gn_1_109460","GO:0016020"
"Cluster_01","Lsat_1_v5_gn_1_109500","GO:0003677"
"Cluster_01","Lsat_1_v5_gn_1_109500","GO:0008270"
"Cluster_01","Lsat_1_v5_gn_1_110041","GO:0046983"
"Cluster_01","Lsat_1_v5_gn_1_112541","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_112541","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_112541","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_11300","GO:0004806"
"Cluster_01","Lsat_1_v5_gn_1_11300","GO:0006629"
"Cluster_01","Lsat_1_v5_gn_1_114540","GO:0004869"
"Cluster_01","Lsat_1_v5_gn_1_123241","GO:0005509"
"Cluster_01","Lsat_1_v5_gn_1_123241","GO:0009523"
"Cluster_01","Lsat_1_v5_gn_1_123241","GO:0009654"
"Cluster_01","Lsat_1_v5_gn_1_123241","GO:0015979"
"Cluster_01","Lsat_1_v5_gn_1_123241","GO:0019898"
"Cluster_01","Lsat_1_v5_gn_1_123460","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_123460","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_123460","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_125901","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_125901","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_125901","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_125981","GO:0003700"
"Cluster_01","Lsat_1_v5_gn_1_125981","GO:0006355"
"Cluster_01","Lsat_1_v5_gn_1_129320","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0003723"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0003746"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0006452"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0008612"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0043022"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0045901"
"Cluster_01","Lsat_1_v5_gn_1_13341","GO:0045905"
"Cluster_01","Lsat_1_v5_gn_1_13680","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_1_17221","GO:0008762"
"Cluster_01","Lsat_1_v5_gn_1_17221","GO:0009690"
"Cluster_01","Lsat_1_v5_gn_1_17221","GO:0016491"
"Cluster_01","Lsat_1_v5_gn_1_17221","GO:0019139"
"Cluster_01","Lsat_1_v5_gn_1_17221","GO:0050660"
"Cluster_01","Lsat_1_v5_gn_1_17221","GO:0055114"
"Cluster_01","Lsat_1_v5_gn_1_18521","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_1_18521","GO:0008270"
"Cluster_01","Lsat_1_v5_gn_1_19240","GO:0006508"
"Cluster_01","Lsat_1_v5_gn_1_19240","GO:0008236"
"Cluster_01","Lsat_1_v5_gn_1_19240","GO:0016020"
"Cluster_01","Lsat_1_v5_gn_1_19281","GO:0006952"
"Cluster_01","Lsat_1_v5_gn_1_19281","GO:0043531"
"Cluster_01","Lsat_1_v5_gn_1_19560","GO:0004497"
"Cluster_01","Lsat_1_v5_gn_1_19560","GO:0005506"
"Cluster_01","Lsat_1_v5_gn_1_19560","GO:0009055"
"Cluster_01","Lsat_1_v5_gn_1_19560","GO:0016705"
"Cluster_01","Lsat_1_v5_gn_1_19560","GO:0020037"
"Cluster_01","Lsat_1_v5_gn_1_19560","GO:0055114"
"Cluster_01","Lsat_1_v5_gn_1_19840","GO:0003682"
"Cluster_01","Lsat_1_v5_gn_1_23701","GO:0005506"
"Cluster_01","Lsat_1_v5_gn_1_23701","GO:0009055"
"Cluster_01","Lsat_1_v5_gn_1_23701","GO:0016705"
"Cluster_01","Lsat_1_v5_gn_1_23701","GO:0020037"
"Cluster_01","Lsat_1_v5_gn_1_23701","GO:0055114"
"Cluster_01","Lsat_1_v5_gn_1_25441","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_25441","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_25441","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_28600","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_28600","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_28600","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0000287"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0005622"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0032957"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0047325"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0052725"
"Cluster_01","Lsat_1_v5_gn_1_300","GO:0052726"
"Cluster_01","Lsat_1_v5_gn_1_3240","GO:0004601"
"Cluster_01","Lsat_1_v5_gn_1_3240","GO:0006979"
"Cluster_01","Lsat_1_v5_gn_1_3240","GO:0020037"
"Cluster_01","Lsat_1_v5_gn_1_3240","GO:0055114"
"Cluster_01","Lsat_1_v5_gn_1_33641","GO:0005452"
"Cluster_01","Lsat_1_v5_gn_1_33641","GO:0006820"
"Cluster_01","Lsat_1_v5_gn_1_33641","GO:0016020"
"Cluster_01","Lsat_1_v5_gn_1_33641","GO:0016021"
"Cluster_01","Lsat_1_v5_gn_1_34161","GO:0005634"
"Cluster_01","Lsat_1_v5_gn_1_34161","GO:0006355"
"Cluster_01","Lsat_1_v5_gn_1_34361","GO:0004357"
"Cluster_01","Lsat_1_v5_gn_1_34361","GO:0006750"
"Cluster_01","Lsat_1_v5_gn_1_37841","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_1_39341","GO:0005515"
"Cluster_01","Lsat_1_v5_gn_1_39341","GO:0008270"
"Cluster_01","Lsat_1_v5_gn_1_39620","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_39620","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_39620","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_47320","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_47320","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_47320","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_49321","GO:0004553"
"Cluster_01","Lsat_1_v5_gn_1_49321","GO:0005975"
"Cluster_01","Lsat_1_v5_gn_1_50160","GO:0048544"
"Cluster_01","Lsat_1_v5_gn_1_51600","GO:0003824"
"Cluster_01","Lsat_1_v5_gn_1_51600","GO:0006777"
"Cluster_01","Lsat_1_v5_gn_1_51600","GO:0008152"
"Cluster_01","Lsat_1_v5_gn_1_51960","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_51960","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_52240","GO:0030001"
"Cluster_01","Lsat_1_v5_gn_1_52240","GO:0046872"
"Cluster_01","Lsat_1_v5_gn_1_5401","GO:0003779"
"Cluster_01","Lsat_1_v5_gn_1_5401","GO:0005737"
"Cluster_01","Lsat_1_v5_gn_1_5401","GO:0008290"
"Cluster_01","Lsat_1_v5_gn_1_5401","GO:0030036"
"Cluster_01","Lsat_1_v5_gn_1_5401","GO:0071203"
"Cluster_01","Lsat_1_v5_gn_1_5460","GO:0016491"
"Cluster_01","Lsat_1_v5_gn_1_56381","GO:0006950"
"Cluster_01","Lsat_1_v5_gn_1_5681","GO:0004672"
"Cluster_01","Lsat_1_v5_gn_1_5681","GO:0005524"
"Cluster_01","Lsat_1_v5_gn_1_5681","GO:0006468"
"Cluster_01","Lsat_1_v5_gn_1_58180","GO:0009058"
"Cluster_01","Lsat_1_v5_gn_1_58201","GO:0000151"
