"","Sample_01","Sample_02","Sample_03","Sample_04","Sample_05","Sample_06","Sample_07","Sample_08","Sample_09","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","GeneID","clust"
"Lsat_1_v5_gn_0_14861",0.170608352622348,-1.30730278738981,0.393724631459395,0.353577678830012,0.866206131117213,-1.18241169585929,-1.2998825815773,0.646372683561198,0.275486513731899,-0.516175091797311,-1.38840619150575,-0.121190800086111,0.164430315399766,1.68123676255437,-0.729742648138379,1.13138148248852,-1.37128570362842,-1.82644720460341,1.37920944652594,-1.09150741938862,1.40099587219338,0.785877035945724,1.61534308063439,-0.710186939461545,0.829215995583674,0.875124375174178,-0.123264563493828,0.102072455048514,-0.782978766948144,1.15066069748156,-0.0309543670883304,0.822208303835244,-1.10848333292494,0.385986057975987,0.0752785313410063,-1.51477630961309,"Lsat_1_v5_gn_0_14861","Cluster_01"
"Lsat_1_v5_gn_0_16540",-0.10301769734789,-0.35561233625648,0.59181620912929,0.669353746562339,-1.21791284949439,-0.747893867844951,0.173395703228301,-1.53789455136969,-0.313461311777833,-0.777329942352289,-1.15065446335223,-0.176698941606297,0.604521531922705,-1.14997839604658,-0.9038726983109,-0.182671700878941,-1.35358102811288,0.504657518111451,0.571399738104742,0.867639590250532,1.88859009310359,2.0030184835887,-0.147969340660379,-0.176903739113106,1.43765237231471,0.262203118808244,2.47230267779781,-0.765326214567701,-0.836013704946244,0.263961354965219,1.11310167666861,-0.922773348487028,-0.228563671628647,0.201551228888709,-1.35635953642039,0.779324297129849,"Lsat_1_v5_gn_0_16540","Cluster_01"
"Lsat_1_v5_gn_0_17620",0.104119417825965,-1.43862227319011,-1.69190090087032,-0.13258793161415,0.206076172074097,0.407920187753443,0.447014645458798,0.284784305993466,0.241736632648641,0.186922608007736,-0.41423908018358,-0.431295002992365,-0.81105237303936,-2.31981985249496,-0.578709026827985,-0.908368358639574,0.682175102470335,-1.08431554937888,1.28594894737769,-0.110537119116809,1.09445139178405,0.11846647972088,-1.59226846417718,0.799653762359962,-1.28732006710734,-0.435875216333692,0.431650249464921,1.37206915454234,-1.50637546203205,1.5541559444044,0.648365147500661,0.538846529653255,1.09758958470013,0.826966895162583,0.993797167390866,1.42057635170412,"Lsat_1_v5_gn_0_17620","Cluster_01"
"Lsat_1_v5_gn_0_20081",0.243403257716569,-0.414718286651936,-1.69732874423739,-0.508052924505093,0.344311595485738,-0.0574875566075912,0.598422685451409,-0.35670736537525,0.243291926548465,-0.0878274250058617,-0.723021878989547,-0.7318200388757,-0.824259417909445,-0.589318785873954,-1.28775539112818,-1.05269591332918,-0.236104852322582,-1.12782368451599,1.81476964489936,1.027762266327,2.08391222680399,1.78772757856976,0.179812337480347,-1.58698187593204,-1.7676307282629,-0.470355518833732,-0.0122564310198231,0.994956984828112,-0.408385414663343,1.18567381299562,-0.307626180364732,0.522906381577438,0.0165583197665726,0.418404861728593,1.43649729224329,1.34974724198199,"Lsat_1_v5_gn_0_20081","Cluster_01"
"Lsat_1_v5_gn_0_24140",-1.47945812822497,-0.88906614451001,-0.730255705821335,-1.24295488357444,-0.608022972065233,1.20005063328275,-0.10395035579226,-1.21462061252141,-0.845260321303419,-0.571036936619916,-0.33884641443815,0.334753344498065,-0.665932317571926,-1.70392357903777,-0.0212237242661813,-1.48712153679938,-0.510159428478465,-1.09824517748677,0.342007217295208,-0.371214726303835,1.09750390749385,-0.1305631803959,-0.569176047071666,1.92276393779552,0.746182768336454,-0.0347543387588238,0.48850378788005,0.69559957593534,0.78766741334357,2.10956071738534,0.072520241565185,0.640158921493002,2.07277634864653,0.8095129447785,0.261683833895401,1.03454093741713,"Lsat_1_v5_gn_0_24140","Cluster_01"
"Lsat_1_v5_gn_0_25980",0.0594958546822125,0.099784695186694,-0.317631925265572,-0.711995961709764,-0.441480571706082,-0.168290488701967,0.220047762087569,-0.312273923268909,-0.975719278113677,-1.14932906914723,-0.182644680822077,-0.726743375749027,-1.39931529056113,-1.13216473523361,-0.251633604660339,-0.879247043536156,-0.826814979384502,-1.76882132856765,0.886863174987475,0.735275951986215,1.03269489592851,2.05323752280241,0.62429890633954,-0.682756682379583,-1.17534923099049,0.471103794542216,0.72126275970055,1.7149549582895,1.23805569001488,1.70615109041965,2.10512343930254,-0.924715069977571,0.193525787935799,-0.124282462455572,-0.53770869365967,0.827042111684806,"Lsat_1_v5_gn_0_25980","Cluster_01"
"Lsat_1_v5_gn_0_27001",-1.90672825767157,0.0355904511627964,-1.27280356503588,0.161340426947004,0.897164252331453,0.276551396343953,-0.743629001094797,1.04000180724851,-0.755690593353208,-1.71268915003991,-0.696542513768133,-1.40759711108148,0.0779904958259774,0.516401581066966,0.632698426928422,-0.309369034443865,0.725151042535231,-1.16406178308533,-0.889474079846084,1.92211344379154,0.456389768312449,2.27727804124258,1.96161997777954,0.468336485907413,-0.732804487532012,0.683893389718601,0.206443164658737,-1.38792405184727,0.519568879802062,-0.0839198577678114,-0.69560578798934,0.632134413690552,-0.220937671659894,-0.248848674138936,0.609964785297433,0.127993389764291,"Lsat_1_v5_gn_0_27001","Cluster_01"
"Lsat_1_v5_gn_0_29380",0.227223250792673,-1.82066270111385,-2.43433352370527,-0.250199212781748,-0.664102903456803,-1.38906674704693,0.423350789075734,-0.027285990040436,0.287584098403744,0.30446017570974,1.11306632914689,-0.474525237876662,-0.993862366931829,-0.00524407685669573,-1.67711322854122,-0.375764558407838,0.597618636577636,-0.222807932979922,0.191538285108956,-1.1481842463295,1.23176164286312,0.421911027801208,0.151024322904076,-0.0319857969217682,-1.02669156458262,0.19548780821376,1.43372544659899,0.885249507554658,-0.909101000773411,2.27341822438289,0.179842063815861,0.40800952218806,-0.138785226284901,0.744781861680387,1.54163570902916,0.978027612783839,"Lsat_1_v5_gn_0_29380","Cluster_01"
"Lsat_1_v5_gn_0_30740",-1.19766107904511,0.215682530962004,-0.680196160218538,0.583961767077947,-0.473666775544455,-0.939267993066156,0.245876534309927,-0.399150105636797,-0.339732031651368,-1.91107937276953,-0.997076794834892,-1.18270710526235,-0.834905997598969,-1.22254247998643,-0.367863619823413,-0.254005262025983,-1.60715118599539,-0.890731818148667,0.292483575898256,1.20027777669431,0.952575849465049,2.33878953435907,0.936208984936193,0.446444482309592,0.555868779159022,0.282130561716818,1.05916862227738,0.0382270435233629,1.18502470305547,1.2991714698284,1.65582996063578,0.0106152349510464,-1.07554347471234,0.0179639734890993,-0.314011717931764,1.37099158960342,"Lsat_1_v5_gn_0_30740","Cluster_01"
"Lsat_1_v5_gn_0_320",-0.926918482754007,-2.64665757150977,-0.523711684030851,-0.530533743341462,-1.9708543374516,0.0950728072321748,0.587439617542473,-1.19910040681248,0.425260355419278,-0.377695548666508,-0.970188704931726,-0.0640140219838093,-0.418348062450348,-0.560504981624338,-1.2719475512084,1.48395266916741,-0.0340624166556904,-0.0858389165306344,1.33225330956404,1.39285772123494,0.047143251602828,0.644956825772582,1.78661277138752,0.229162587784109,0.844581759009233,0.179636283970454,0.493583672902707,0.53607384655195,1.00352318043562,-1.4461825209121,0.0280988944535778,0.526956157153855,1.73386577691482,-0.166807482630236,-0.432641364666939,0.254976310061319,"Lsat_1_v5_gn_0_320","Cluster_01"
