"","Sample_01","Sample_02","Sample_03","Sample_04","Sample_05","Sample_06","Sample_07","Sample_08","Sample_09","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","GeneID","clust"
"Lsat_1_v5_gn_0_10121",0.200634786221383,1.36512321249927,-1.12210072334999,1.05572132799955,0.152439505974791,0.197196726465524,-0.268438243084525,-1.72490208072978,-0.571627258900448,-0.501207405454299,0.0296400560962187,-1.88036675534709,-0.0523819907721697,1.29723984015629,-0.545137157991851,-0.493557394471228,1.3477098347258,0.0250803202749337,1.82767286749377,-0.338739467806225,"Lsat_1_v5_gn_0_10121","Cluster_05"
"Lsat_1_v5_gn_0_1041",0.93564424581011,-1.24423211637882,0.9159425897665,1.35179216208934,-0.362602994973439,0.418939787289668,-1.63804369529056,0.1802988514611,1.20990205509122,-0.565611879868697,0.511401434545882,-0.428306245244683,-1.99463214600385,0.614251756067051,-0.952047391285033,0.593169419423858,-1.14603494116018,0.403062569434785,1.25132631277752,-0.0542197735517572,"Lsat_1_v5_gn_0_1041","Cluster_05"
"Lsat_1_v5_gn_0_10961",0.688329596145267,0.866959542406809,-1.65819067502358,0.330741501832337,-0.396725700563653,-0.102756110523823,0.363444292191762,-1.70760730215708,0.180694980953864,0.256608946981704,-0.530482491991858,-1.89560531155525,-0.352356580222187,-0.101556908407811,-0.892538354091728,1.7445677010608,0.970239061456325,0.287831323182919,1.6181910478666,0.330211440458589,"Lsat_1_v5_gn_0_10961","Cluster_05"
"Lsat_1_v5_gn_0_15420",1.08032684628544,-0.415590225630259,-1.30438894983418,1.07598490855505,-0.084949642061315,1.16221721678716,-0.0198475660047087,-1.04218118725867,1.44834267210883,-0.674957454752406,0.0437080369584998,-2.04778627280866,-1.03166955604038,0.541392110402319,-0.91049909047408,1.31781568589652,0.518139476480904,-0.0516809818738467,1.01494349867748,-0.619319525413754,"Lsat_1_v5_gn_0_15420","Cluster_05"
"Lsat_1_v5_gn_0_16941",1.98903277294864,-0.787318027747176,-0.307501221931715,-0.0734546984805028,-0.339887195744664,2.43146892253668,-0.332841477003888,0.5787857795778,1.23552954491058,-0.11248193200432,0.192743429975725,-0.59926152848316,-0.526446758183641,-0.435712886080301,-1.04681102414804,1.25218199464667,-0.959154175922543,-0.342298064423897,-0.687768678326279,-1.12880477611597,"Lsat_1_v5_gn_0_16941","Cluster_05"
"Lsat_1_v5_gn_0_17620",0.948954316256786,0.825950548344871,-0.177205306311569,0.330920658643165,0.469852198758492,0.19276625393605,-0.688369408186537,-1.22547115202997,-0.216604733512865,-1.57506124269081,-1.35953360527154,-1.08203690015995,-1.1840692676439,0.908171896655194,-0.759831633077559,1.2832591002258,1.86186867234792,0.874625712491466,0.856018065498962,-0.284204174274024,"Lsat_1_v5_gn_0_17620","Cluster_05"
"Lsat_1_v5_gn_0_20081",0.76674614825573,0.292025424324965,-0.312624647886754,1.32693014235516,0.128813049373098,-0.557540763291126,-1.51121798213499,-1.47960622110519,0.421701071426376,-0.962761276678742,-0.587565135737895,-1.23260244640793,-1.14279738937475,0.283984539214926,-0.771567917810072,1.21715953348052,0.869674648188443,1.67459170193978,1.25290324578789,0.323754276080557,"Lsat_1_v5_gn_0_20081","Cluster_05"
"Lsat_1_v5_gn_0_24140",-1.36822077401941,0.894154964214054,-2.13648361742528,0.83580948710495,0.151284421137373,-0.556440118604337,0.642667186174148,-1.80020904190123,-0.0208524411721683,-0.171905535828012,-0.460906899414721,-0.446575123719457,0.127588481917112,0.568554993878904,0.260529926480711,1.50234964046426,1.76951122428742,0.0383257604994797,0.727861028289749,-0.5570435623635,"Lsat_1_v5_gn_0_24140","Cluster_05"
"Lsat_1_v5_gn_0_24701",0.664633842855673,-0.803150471155117,-1.17019285353598,0.470768395296735,-0.526574392255547,0.150059163146993,-1.10805575697727,-0.814810769265559,-0.14730757426184,-1.08184472693171,1.11097176700775,-1.55273660957804,-0.670470031454165,-0.772918039427156,0.474639164113447,1.47740817152671,0.421913082577075,1.51747442701481,0.645095286958764,1.71509792434444,"Lsat_1_v5_gn_0_24701","Cluster_05"
"Lsat_1_v5_gn_0_2580",0.0434668161093112,0.361437710677807,0.351580960936061,0.753928370037332,-0.183002266721378,0.077723859706799,-0.930865910736888,-1.40659592288918,-0.432610422115132,-1.43381833316263,-1.01386968626569,-0.360189904841254,-1.1751375841253,0.884143417512919,-1.13930591430668,0.761332350704939,1.76932011563897,1.35687744268711,1.69645746600903,0.0191274351438593,"Lsat_1_v5_gn_0_2580","Cluster_05"
