GO.ID,Term,Annotated,Significant,Expected,Pvalue,Adj.Pvalue
GO:0010143,cutin biosynthetic process,58,14,2.42,7.60E-08,0.000254828
GO:0006491,N-glycan processing,11,6,0.46,2.00E-06,0.003353
GO:1901135,carbohydrate derivative metabolic process,752,57,31.33,8.30E-06,0.009276633
GO:0005996,monosaccharide metabolic process,98,14,4.08,5.30E-05,0.04442725
GO:0071577,zinc ion transmembrane transport,26,7,1.08,6.90E-05,0.0462714
