Light,Cultivar,Color,Sample
03_BlueLED,08_SunB,Red,Ls21v1.105.genes.results
03_BlueLED,08_SunB,Red,Ls21v1.106.genes.results
03_BlueLED,08_SunB,Red,Ls21v1.107.genes.results
03_BlueLED,09_WineD,Red,Ls21v1.108.genes.results
03_BlueLED,09_WineD,Red,Ls21v1.109.genes.results
03_BlueLED,09_WineD,Red,Ls21v1.110.genes.results
03_BlueLED,10_GOak,Green,Ls21v1.111.genes.results
03_BlueLED,10_GOak,Green,Ls21v1.112.genes.results
03_BlueLED,10_GOak,Green,Ls21v1.113.genes.results
03_BlueLED,11_HandG,Green,Ls21v1.114.genes.results
03_BlueLED,11_HandG,Green,Ls21v1.115.genes.results
03_BlueLED,11_HandG,Green,Ls21v1.116.genes.results
03_BlueLED,12_GLeaf,Green,Ls21v1.117.genes.results
03_BlueLED,12_GLeaf,Green,Ls21v1.118.genes.results
03_BlueLED,12_GLeaf,Green,Ls21v1.119.genes.results
03_BlueLED,13_GButt,Green,Ls21v1.120.genes.results
03_BlueLED,14_FrIce,Green,Ls21v1.121.genes.results
03_BlueLED,14_FrIce,Green,Ls21v1.122.genes.results
03_BlueLED,14_FrIce,Green,Ls21v1.123.genes.results
02_RedLED,01_RButt,Red,Ls21v1.124.genes.results
02_RedLED,01_RButt,Red,Ls21v1.125.genes.results
02_RedLED,01_RButt,Red,Ls21v1.126.genes.results
02_RedLED,02_RLeaf,Red,Ls21v1.127.genes.results
02_RedLED,02_RLeaf,Red,Ls21v1.128.genes.results
02_RedLED,02_RLeaf,Red,Ls21v1.129.genes.results
02_RedLED,03_ROak,Red,Ls21v1.130.genes.results
02_RedLED,03_ROak,Red,Ls21v1.131.genes.results
02_RedLED,03_ROak,Red,Ls21v1.132.genes.results
02_RedLED,04_RCos,Red,Ls21v1.133.genes.results
02_RedLED,04_RCos,Red,Ls21v1.134.genes.results
02_RedLED,04_RCos,Red,Ls21v1.135.genes.results
02_RedLED,05_FancR,Red,Ls21v1.136.genes.results
02_RedLED,05_FancR,Red,Ls21v1.137.genes.results
02_RedLED,05_FancR,Red,Ls21v1.138.genes.results
02_RedLED,06_HandR,Red,Ls21v1.139.genes.results
02_RedLED,06_HandR,Red,Ls21v1.140.genes.results
02_RedLED,06_HandR,Red,Ls21v1.141.genes.results
02_RedLED,07_RFire,Red,Ls21v1.142.genes.results
02_RedLED,07_RFire,Red,Ls21v1.143.genes.results
02_RedLED,07_RFire,Red,Ls21v1.144.genes.results
02_RedLED,08_SunB,Red,Ls21v1.145.genes.results
02_RedLED,08_SunB,Red,Ls21v1.146.genes.results
02_RedLED,08_SunB,Red,Ls21v1.147.genes.results
02_RedLED,09_WineD,Red,Ls21v1.148.genes.results
02_RedLED,09_WineD,Red,Ls21v1.149.genes.results
02_RedLED,09_WineD,Red,Ls21v1.150.genes.results
02_RedLED,10_GOak,Green,Ls21v1.151.genes.results
02_RedLED,10_GOak,Green,Ls21v1.152.genes.results
02_RedLED,10_GOak,Green,Ls21v1.153.genes.results
02_RedLED,11_HandG,Green,Ls21v1.154.genes.results
02_RedLED,11_HandG,Green,Ls21v1.155.genes.results
02_RedLED,11_HandG,Green,Ls21v1.156.genes.results
02_RedLED,12_GLeaf,Green,Ls21v1.157.genes.results
02_RedLED,12_GLeaf,Green,Ls21v1.158.genes.results
02_RedLED,12_GLeaf,Green,Ls21v1.159.genes.results
02_RedLED,13_GButt,Green,Ls21v1.160.genes.results
02_RedLED,13_GButt,Green,Ls21v1.161.genes.results
02_RedLED,13_GButt,Green,Ls21v1.162.genes.results
02_RedLED,14_FrIce,Green,Ls21v1.163.genes.results
02_RedLED,14_FrIce,Green,Ls21v1.164.genes.results
02_RedLED,14_FrIce,Green,Ls21v1.165.genes.results
